SAVAGE,36.9201,36.941
OLSEN,36.9411,36.961
SCHROEDER,36.9611,36.981
HARTMAN,36.9811,37.001
WOODARD,37.0011,37.021
MUELLER,37.0211,37.041
KEMP,37.0411,37.061
DELEON,37.0611,37.081
BOOTH,37.0811,37.101
PATEL,37.1011,37.121
CALHOUN,37.1211,37.14
WILEY,37.1401,37.16
EATON,37.1601,37.18
CLINE,37.1801,37.2
NAVARRO,37.2001,37.22
HARRELL,37.2201,37.24
LESTER,37.2401,37.259
HUMPHREY,37.2591,37.279
PARRISH,37.2791,37.299
DURAN,37.2991,37.318
HUTCHINSON,37.3181,37.338
HESS,37.3381,37.358
DORSEY,37.3581,37.377
BULLOCK,37.3771,37.397
ROBLES,37.3971,37.416
BEARD,37.4161,37.436
DALTON,37.4361,37.455
AVILA,37.4551,37.475
VANCE,37.4751,37.494
RICH,37.4941,37.514
BLACKWELL,37.5141,37.533
YORK,37.5331,37.552
JOHNS,37.5521,37.572
BLANKENSHIP,37.5721,37.591
TREVINO,37.5911,37.61
SALINAS,37.6101,37.63
CAMPOS,37.6301,37.649
PRUITT,37.6491,37.668
MOSES,37.6681,37.688
CALLAHAN,37.6881,37.707
GOLDEN,37.7071,37.726
MONTOYA,37.7261,37.745
HARDIN,37.7451,37.764
GUERRA,37.7641,37.783
MCDOWELL,37.7831,37.802
CAREY,37.8021,37.821
STAFFORD,37.8211,37.84
GALLEGOS,37.8401,37.859
HENSON,37.8591,37.878
WILKINSON,37.8781,37.897
BOOKER,37.8971,37.916
MERRITT,37.9161,37.935
MIRANDA,37.9351,37.953
ATKINSON,37.9531,37.972
ORR,37.9721,37.991
DECKER,37.9911,38.01
HOBBS,38.0101,38.028
PRESTON,38.0281,38.047
TANNER,38.0471,38.066
KNOX,38.0661,38.084
PACHECO,38.0841,38.103
STEPHENSON,38.1031,38.121
GLASS,38.1211,38.14
ROJAS,38.1401,38.158
SERRANO,38.1581,38.176
MARKS,38.1761,38.195
HICKMAN,38.1951,38.213
ENGLISH,38.2131,38.231
SWEENEY,38.2311,38.249
STRONG,38.2491,38.267
PRINCE,38.2671,38.285
MCCLURE,38.2851,38.304
CONWAY,38.3041,38.322
WALTER,38.3221,38.34
ROTH,38.3401,38.358
MAYNARD,38.3581,38.376
FARRELL,38.3761,38.394
LOWERY,38.3941,38.411
HURST,38.4111,38.429
NIXON,38.4291,38.447
WEISS,38.4471,38.465
TRUJILLO,38.4651,38.483
ELLISON,38.4831,38.5
SLOAN,38.5001,38.518
JUAREZ,38.5181,38.536
WINTERS,38.5361,38.553
MCLEAN,38.5531,38.571
RANDOLPH,38.5711,38.588
LEON,38.5881,38.606
BOYER,38.6061,38.624
VILLARREAL,38.6241,38.641
MCCALL,38.6411,38.659
GENTRY,38.6591,38.676
CARRILLO,38.6761,38.694
KENT,38.6941,38.711
AYERS,38.7111,38.729
LARA,38.7291,38.746
SHANNON,38.7461,38.763
SEXTON,38.7631,38.781
PACE,38.7811,38.798
HULL,38.7981,38.815
LEBLANC,38.8151,38.833
BROWNING,38.8331,38.85
VELASQUEZ,38.8501,38.867
LEACH,38.8671,38.884
CHANG,38.8841,38.901
HOUSE,38.9011,38.918
SELLERS,38.9181,38.936
HERRING,38.9361,38.953
NOBLE,38.9531,38.97
FOLEY,38.9701,38.987
BARTLETT,38.9871,39.004
MERCADO,39.0041,39.021
LANDRY,39.0211,39.037
DURHAM,39.0371,39.054
WALLS,39.0541,39.071
BARR,39.0711,39.088
MCKEE,39.0881,39.105
BAUER,39.1051,39.122
RIVERS,39.1221,39.139
EVERETT,39.1391,39.155
BRADSHAW,39.1551,39.172
PUGH,39.1721,39.189
VELEZ,39.1891,39.206
RUSH,39.2061,39.222
ESTES,39.2221,39.239
DODSON,39.2391,39.255
MORSE,39.2551,39.272
SHEPPARD,39.2721,39.289
WEEKS,39.2891,39.305
CAMACHO,39.3051,39.322
BEAN,39.3221,39.338
BARRON,39.3381,39.355
LIVINGSTON,39.3551,39.371
MIDDLETON,39.3711,39.388
SPEARS,39.3881,39.404
BRANCH,39.4041,39.42
BLEVINS,39.4201,39.437
CHEN,39.4371,39.453
KERR,39.4531,39.469
MCCONNELL,39.4691,39.486
HATFIELD,39.4861,39.502
HARDING,39.5021,39.518
ASHLEY,39.5181,39.535
SOLIS,39.5351,39.551
HERMAN,39.5511,39.567
FROST,39.5671,39.583
GILES,39.5831,39.599
BLACKBURN,39.5991,39.616
WILLIAM,39.6161,39.632
PENNINGTON,39.6321,39.648
WOODWARD,39.6481,39.664
FINLEY,39.6641,39.68
MCINTOSH,39.6801,39.696
KOCH,39.6961,39.713
BEST,39.7131,39.729
SOLOMON,39.7291,39.745
MCCULLOUGH,39.7451,39.761
DUDLEY,39.7611,39.777
NOLAN,39.7771,39.793
BLANCHARD,39.7931,39.809
RIVAS,39.8091,39.825
BRENNAN,39.8251,39.841
MEJIA,39.8411,39.856
KANE,39.8561,39.872
BENTON,39.8721,39.888
JOYCE,39.8881,39.904
BUCKLEY,39.9041,39.92
HALEY,39.9201,39.936
VALENTINE,39.9361,39.952
MADDOX,39.9521,39.967
RUSSO,39.9671,39.983
MCKNIGHT,39.9831,39.999
BUCK,39.9991,40.015
MOON,40.0151,40.03
MCMILLAN,40.0301,40.046
CROSBY,40.0461,40.062
BERG,40.0621,40.077
DOTSON,40.0771,40.093
MAYS,40.0931,40.109
ROACH,40.1091,40.124
CHURCH,40.1241,40.14
CHAN,40.1401,40.155
RICHMOND,40.1551,40.171
MEADOWS,40.1711,40.187
FAULKNER,40.1871,40.202
ONEILL,40.2021,40.218
KNAPP,40.2181,40.233
KLINE,40.2331,40.248
BARRY,40.2481,40.264
OCHOA,40.2641,40.279
JACOBSON,40.2791,40.295
GAY,40.2951,40.31
AVERY,40.3101,40.326
HENDRICKS,40.3261,40.341
HORNE,40.3411,40.356
SHEPARD,40.3561,40.372
HEBERT,40.3721,40.387
CHERRY,40.3871,40.402
CARDENAS,40.4021,40.418
MCINTYRE,40.4181,40.433
WHITNEY,40.4331,40.448
WALLER,40.4481,40.463
HOLMAN,40.4631,40.478
DONALDSON,40.4781,40.494
CANTU,40.4941,40.509
TERRELL,40.5091,40.524
MORIN,40.5241,40.539
GILLESPIE,40.5391,40.555
FUENTES,40.5551,40.57
TILLMAN,40.5701,40.585
SANFORD,40.5851,40.6
BENTLEY,40.6001,40.615
PECK,40.6151,40.63
KEY,40.6301,40.645
SALAS,40.6451,40.66
ROLLINS,40.6601,40.676
GAMBLE,40.6761,40.691
DICKSON,40.6911,40.706
BATTLE,40.7061,40.721
SANTANA,40.7211,40.736
CABRERA,40.7361,40.751
CERVANTES,40.7511,40.766
HOWE,40.7661,40.781
HINTON,40.7811,40.796
HURLEY,40.7961,40.811
SPENCE,40.8111,40.825
ZAMORA,40.8251,40.84
YANG,40.8401,40.855
MCNEIL,40.8551,40.87
SUAREZ,40.8701,40.885
CASE,40.8851,40.9
PETTY,40.9001,40.915
GOULD,40.9151,40.929
MCFARLAND,40.9291,40.944
SAMPSON,40.9441,40.959
CARVER,40.9591,40.974
BRAY,40.9741,40.989
ROSARIO,40.9891,41.003
MACDONALD,41.0031,41.018
STOUT,41.0181,41.033
HESTER,41.0331,41.047
MELENDEZ,41.0471,41.062
DILLON,41.0621,41.077
FARLEY,41.0771,41.091
HOPPER,41.0911,41.106
GALLOWAY,41.1061,41.121
POTTS,41.1211,41.135
BERNARD,41.1351,41.15
JOYNER,41.1501,41.164
STEIN,41.1641,41.179
AGUIRRE,41.1791,41.193
OSBORN,41.1931,41.208
MERCER,41.2081,41.222
BENDER,41.2221,41.236
FRANCO,41.2361,41.251
ROWLAND,41.2511,41.265
SYKES,41.2651,41.28
